name,state,state_code
Aaniiih Nakoda College,Montana,MT
Abilene Christian University,Texas,TX
Abraham Baldwin Agricultural College,Georgia,GA
Academy College,Minnesota,MN
Academy of Art University,California,CA
Adams State University,Colorado,CO
Adelphi University,New York,NY
Adirondack Community College,New York,NY
Adrian College,Michigan,MI
Advanced Technology Institute,Virginia,VA
Adventist University of Health Sciences,Florida,FL
Agnes Scott College,Georgia,GA
Aiken Technical College,South Carolina,SC
Aims Community College,Colorado,CO
Alabama Agricultural and Mechanical University,Alabama,AL
Alabama Southern Community College,Alabama,AL
Alabama State University,Alabama,AL
Alamance Community College,North Carolina,NC
Alaska Bible College,Alaska,AK
Alaska Pacific University,Alaska,AK
Albany College of Pharmacy and Health Sciences,New York,NY
Albany State University,Georgia,GA
Albany Technical College,Georgia,GA
Albertus Magnus College,Connecticut,CT
Albion College,Michigan,MI
Albright College,Pennsylvania,PA
Alcorn State University,Mississippi,MS
Alderson-Broaddus University,West Virginia,WV
Alexandria Technical and Community College,Minnesota,MN
Alfred University,New York,NY
Allan Hancock College,California,CA
Allegany College of Maryland,Maryland,MD
Allegheny College,Pennsylvania,PA
Allegheny Wesleyan College,Ohio,OH
Allen College,Iowa,IA
Allen County Community College,Kansas,KS
Allen University,South Carolina,SC
Alliant International University,California,CA
Alma College,Michigan,MI
Alpena Community College,Michigan,MI
Alvernia University,Pennsylvania,PA
Alverno College,Wisconsin,WI
Alvin Community College,Texas,TX
Amarillo College,Texas,TX
Amberton University,Texas,TX
American Academy McAllister Institute of Funeral Service,New York,NY
American Academy of Art,Illinois,IL
American Academy of Dramatic Arts,New York,NY
American Academy of Dramatic Arts: West,California,CA
American Baptist College,Tennessee,TN
American Indian College of the Assemblies of God,Arizona,AZ
American International College,Massachusetts,MA
American Jewish University,California,CA
American National University: Charlottesville,Virginia,VA
American National University: Danville,Virginia,VA
American National University: Harrisonburg,Virginia,VA
American National University: Lynchburg,Virginia,VA
American National University: Martinsville,Virginia,VA
American National University: Salem,Virginia,VA
American  University SystemFor-profit,West Virginia,WV
American River College,California,CA
American Samoa Community College,,AS
American University,,DC
American University of Puerto Rico,,PR
Amherst College,Massachusetts,MA
Amridge University,Alabama,AL
Ancilla College,Indiana,IN
Anderson University,South Carolina,SC
Anderson University,Indiana,IN
Andrew College,Georgia,GA
Andrews University,Michigan,MI
Angelina College,Texas,TX
Angelo State University,Texas,TX
Anna Maria College,Massachusetts,MA
Anne Arundel Community College,Maryland,MD
Anoka Technical College,Minnesota,MN
Anoka-Ramsey Community College,Minnesota,MN
Antelope Valley College,California,CA
Antioch College,Ohio,OH
Antioch University Los Angeles,California,CA
Antioch University Midwest,Ohio,OH
Antioch University Santa Barbara,California,CA
Antioch University Seattle,Washington,WA
Apex School of Theology,North Carolina,NC
Appalachian Bible College,West Virginia,WV
Appalachian State University,North Carolina,NC
Aquinas College,Michigan,MI
Aquinas College,Tennessee,TN
Arapahoe Community College,Colorado,CO
Arcadia University,Pennsylvania,PA
Arizona Christian University,Arizona,AZ
Arizona State University,Arizona,AZ
Arizona Western College,Arizona,AZ
Arkansas Baptist College,Arkansas,AR
Arkansas Northeastern College,Arkansas,AR
Arkansas State University,Arkansas,AR
Arkansas State University Mid-South,Arkansas,AR
Arkansas State University: Beebe,Arkansas,AR
Arkansas State University: Mountain Home,Arkansas,AR
Arkansas State University: Newport,Arkansas,AR
Arkansas Tech University,Arkansas,AR
Arlington Baptist University,Texas,TX
Armstrong State University,Georgia,GA
Art Academy of Cincinnati,Ohio,OH
Art Center College of Design,California,CA
Art Institute of Houston,Texas,TX
Art Institute of Philadelphia,Pennsylvania,PA
Art Institute of Phoenix,Arizona,AZ
Art Institute of Pittsburgh,Pennsylvania,PA
ASA College,New York,NY
Asbury University,Kentucky,KY
Asheville-Buncombe Technical Community College,North Carolina,NC
Ashford University,California,CA
Ashland Community and Technical College,Kentucky,KY
Ashland University,Ohio,OH
Ashworth College,Georgia,GA
Asnuntuck Community College,Connecticut,CT
Assumption College,Massachusetts,MA
Assumption College for Sisters,New Jersey,NJ
Athens State University,Alabama,AL
Athens Technical College,Georgia,GA
Atlanta Metropolitan State College,Georgia,GA
Atlanta Technical College,Georgia,GA
Atlantic Cape Community College,New Jersey,NJ
Atlantic University College,,PR
Auburn University,Alabama,AL
Auburn University at Montgomery,Alabama,AL
Augsburg University,Minnesota,MN
Augusta Technical College,Georgia,GA
Augusta University,Georgia,GA
Augustana College,Illinois,IL
Augustana University,South Dakota,SD
Aultman College of Nursing and Health Sciences,Ohio,OH
Aurora University,Illinois,IL
Austin College,Texas,TX
Austin Community College,Texas,TX
Austin Graduate School of Theology,Texas,TX
Austin Peay State University,Tennessee,TN
Ave Maria University,Florida,FL
Averett University,Virginia,VA
Avila University,Missouri,MO
Azusa Pacific University,California,CA
Babson College,Massachusetts,MA
Baker University,Kansas,KS
Bakersfield College,California,CA
Baldwin Wallace University,Ohio,OH
Ball State University,Indiana,IN
Baltimore City Community College,Maryland,MD
Baptist Bible College,Missouri,MO
Baptist College of Florida,Florida,FL
Baptist College of Health Sciences,Tennessee,TN
Baptist Missionary Association Theological Seminary,Texas,TX
Baptist University of the Americas,Texas,TX
Barclay College,Kansas,KS
Bard College,New York,NY
Bard College at Simon's Rock,Massachusetts,MA
Barnard College,New York,NY
Barry University,Florida,FL
Barstow Community College,California,CA
Barton College,North Carolina,NC
Barton County Community College,Kansas,KS
Bastyr University,Washington,WA
Bates College,Maine,ME
Bates Technical College,Washington,WA
Baton Rouge Community College,Louisiana,LA
Bay College,Michigan,MI
Bay Mills Community College,Michigan,MI
Bay Path University,Massachusetts,MA
Bay State College,Massachusetts,MA
Bayamon Central University,,PR
Baylor University,Texas,TX
Beacon College,Florida,FL
Beaufort County Community College,North Carolina,NC
Becker College,Massachusetts,MA
Beckfield College,Kentucky,KY
Beis Medrash Heichal Dovid,New York,NY
Belhaven University,Mississippi,MS
Bellarmine University,Kentucky,KY
Bellevue College,Washington,WA
Bellevue University,Nebraska,NE
Bellin College,Wisconsin,WI
Bellingham Technical College,Washington,WA
Belmont Abbey College,North Carolina,NC
Belmont College,Ohio,OH
Belmont University,Tennessee,TN
Beloit College,Wisconsin,WI
Bemidji State University,Minnesota,MN
Benedict College,South Carolina,SC
Benedictine College,Kansas,KS
Benedictine University,Illinois,IL
Benjamin Franklin Institute of Technology,Massachusetts,MA
Bennett College for Women,North Carolina,NC
Bennington College,Vermont,VT
Bentley University,Massachusetts,MA
Berea College,Kentucky,KY
Bergen Community College,New Jersey,NJ
Bergin University of Canine Studies,California,CA
Berkeley City College,California,CA
Berklee College of Music,Massachusetts,MA
Berkshire Community College,Massachusetts,MA
Berry College,Georgia,GA
Beth Hatalmud Rabbinical College,New York,NY
Beth Medrash Govoha,New Jersey,NJ
Bethany College,Kansas,KS
Bethany College,West Virginia,WV
Bethany Lutheran College,Minnesota,MN
Bethel College,Indiana,IN
Bethel College,Kansas,KS
Bethel University,Tennessee,TN
Bethel University,Minnesota,MN
Bethesda University of California,California,CA
Bethune-Cookman University,Florida,FL
Beulah Heights University,Georgia,GA
Beverly Hills Design Institute,California,CA
Bevill State Community College,Alabama,AL
Big Bend Community College,Washington,WA
Big Sandy Community and Technical College,Kentucky,KY
Biola University,California,CA
Birmingham-Southern College,Alabama,AL
Bishop State Community College,Alabama,AL
Bismarck State College,North Dakota,ND
Black Hawk College,Illinois,IL
