year,Team,college,PLAYER,player_height,player_weight,Pos_x,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FGMI,FG3MI,FTMI,fg_production,fg3_production,ft_production,ancillary_production,shooting_production,total_production,fg_efficiency,fg3_efficiency,ft_efficiency
2020,Golden State Warriors,Davidson,Stephen Curry,190.5,83.91452,PG,63,2152,658,1365,0.482,337,801,0.421,362,395,0.916,29,316,345,363,77,8,213,119,2015,707,464,33,-98,-381,329,114.3,-150,-35.7,0.48205128205128206,0.4207240948813982,0.9164556962025316
2020,Portland Trail Blazers,Weber State,Damian Lillard,187.96,88.45044,PG,67,2398,602,1334,0.451,275,704,0.391,449,484,0.928,32,251,283,505,62,17,203,102,1928,732,429,35,-260,-462,414,137.9,-308,-170.1,0.4512743628185907,0.390625,0.9276859504132231
2020,Washington Wizards,Florida,Bradley Beal,190.5,93.893544,SG,60,2147,670,1382,0.485,130,373,0.349,408,459,0.889,72,211,283,265,69,22,187,140,1878,712,243,51,-84,-339,357,100.0,-66,34.0,0.48480463096960924,0.3485254691689008,0.8888888888888888
2020,Milwaukee Bucks,,Giannis Antetokounmpo,210.82,109.769264,PF,61,2013,626,1100,0.569,67,221,0.303,398,581,0.685,97,574,671,357,72,73,207,168,1717,474,154,183,304,-261,215,241.85,258,499.85,0.5690909090909091,0.3031674208144796,0.685025817555938
2020,Phoenix Suns,Kentucky,Devin Booker,195.58,93.439952,SG,67,2270,623,1287,0.484,126,371,0.34,340,392,0.867,34,247,281,289,53,16,207,181,1712,664,245,52,-82,-357,288,72.95,-151,-78.05,0.4840714840714841,0.33962264150943394,0.8673469387755102
2020,New York Knicks,Kentucky,Julius Randle,203.2,113.398,PF,71,2667,602,1321,0.456,160,389,0.411,348,429,0.811,84,640,724,427,64,18,241,225,1712,719,229,81,-234,-207,267,218.0,-174,44.0,0.45571536714610145,0.41131105398457585,0.8111888111888111
2020,Boston Celtics,Duke,Jayson Tatum,203.2,95.25432,SF,64,2290,605,1318,0.459,187,485,0.386,295,340,0.868,50,422,472,276,75,31,171,122,1692,713,298,45,-216,-333,250,160.9,-299,-138.1,0.4590288315629742,0.38556701030927837,0.8676470588235294
2020,New Orleans Pelicans,Duke,Zion Williamson,200.66,128.820128,PF,61,2026,634,1037,0.611,10,34,0.294,369,529,0.698,167,274,441,226,57,39,167,135,1647,403,24,160,462,-42,209,166.25,629,795.25,0.6113789778206364,0.29411764705882354,0.6975425330812854
2020,Atlanta Hawks,Oklahoma,Trae Young,185.42,81.64656,PG,63,2125,487,1112,0.438,136,397,0.343,484,546,0.886,38,207,245,594,53,12,261,111,1594,625,261,62,-276,-375,422,115.7,-229,-113.3,0.4379496402877698,0.3425692695214106,0.8864468864468864
2020,Chicago Bulls,UCLA,Zach LaVine,195.58,90.7184,SG,58,2034,569,1123,0.507,200,477,0.419,253,298,0.849,36,253,289,282,46,27,203,138,1591,554,277,45,30,-231,208,79.85,7,86.85,0.5066785396260017,0.4192872117400419,0.8489932885906041
